Name;Unicode point;UTF-8 encoding
LETTRE  g AVEC CEDILLE;U+0123;c4 - a3
LETTRE  g AVEC TILDE;U+0067 - U+0303;67 - cc - 83
LETTRE  G AVEC TREMA;U+0047 - U+0308;47 - cc - 88
LETTRE  g AVEC TREMA;U+0067 - U+0308;67 - cc - 88
LETTRE  H;U+0048;48
LETTRE  h;U+0068;68
LETTRE  h AVEC ACCENT CIRCONFLEXE;U+0125;c4 - a5
LETTRE  h AVEC TREMA;U+0068 - U+0308;68 - cc - 88
LETTRE  I;U+0049;49
LETTRE  i;U+0069;69
LETTRE  i AVEC ACCENT AIGU;U+00ed;c3 - ad
LETTRE  I AVEC ACCENT CIRCONFLEXE;U+00ce;c3 - 8e
LETTRE  i AVEC ACCENT CIRCONFLEXE;U+00ee;c3 - ae
LETTRE  i AVEC ACCENT EN v;U+012d;c4 - ad
LETTRE  i AVEC ACCENT GRAVE;U+00ec;c3 - ac
LETTRE  i AVEC APOSTROPHE;U+0069 - U+0315;69 - cc - 95
LETTRE  i AVEC DOUBLE APOSTROPHE;U+00ef;c3 - af
LETTRE  i AVEC ROND SUPERIEUR, SIGNE DEGRE;U+0069 - U+030a;69 - cc - 8a
LETTRE  i AVEC TILDE;U+0129;c4 - a9
LETTRE  I AVEC TREMA;U+00cf;c3 - 8f
LETTRE  i AVEC TREMA;U+00ef;c3 - af
LETTRE  J;U+004a;4a
LETTRE  j;U+006a;6a
LETTRE  J AVEC ACCENT AIGU;U+004a - U+0301;4a - cc - 81
LETTRE  J AVEC ACCENT GRAVE;U+004a - U+0300;4a - cc - 80
LETTRE  j AVEC APOSTROPHE;U+006a - U+0315;6a - cc - 95
LETTRE  J AVEC ROND SUPERIEUR, SIGNE DEGRE;U+004a - U+030a;4a - cc - 8a
LETTRE  J AVEC TILDE;U+004a - U+0303;4a - cc - 83
LETTRE  J AVEC TREMA;U+004a - U+0308;4a - cc - 88
LETTRE  j AVEC TREMA;U+006a - U+0308;6a - cc - 88
LETTRE  K;U+004b;4b
LETTRE  k;U+006b;6b
LETTRE  K AVEC ACCENT AIGU;U+004b - U+0301;4b - cc - 81
